"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"27","Izmo Limited","IZMO","P&F | F.A","-0.75%","421.9","29,041"
"150","Sportking India Ltd","SPORTKING","P&F | F.A","-0.78%","133","5,52,992"
"142","Munjal Showa Limited","MUNJALSHOW","P&F | F.A","-0.85%","151.05","76,550"
"48","Monarch Networth Capital Ltd","MONARCH","P&F | F.A","-0.86%","368.3","2,79,202"
"129","Cybertech Systems And Software Limited","CYBERTECH","P&F | F.A","-0.86%","175.69","39,990"
"121","Ptc India Limited","PTC","P&F | F.A","-0.92%","189.09","11,26,919"
"80","Hubtown Limited","HUBTOWN","P&F | F.A","-0.98%","292.45","6,74,496"
"6","Vip Industries Limited","VIPIND","P&F | F.A","-0.99%","469.95","8,43,843"
"45","Eih Limited","EIHOTEL","P&F | F.A","-1.04%","380.5","2,58,735"
"89","ACME Solar Holdings Ltd","ACMESOLAR","P&F | F.A","-1.08%","275.54","15,46,289"
"98","Emkay Global Financial Services Limited","EMKAY","P&F | F.A","-1.15%","258.01","8,379"
"7","Time Technoplast Limited","TIMETECHNO","P&F | F.A","-1.16%","466.8","10,73,793"
"84","Univastu India Ltd","UNIVASTU","P&F | F.A","-1.24%","288.49","2,11,671"
"60","MAS Financial Services Ltd","MASFIN","P&F | F.A","-1.25%","339.15","2,44,341"
"43","Usha Martin Limited","USHAMART","P&F | F.A","-1.28%","381.4","1,89,098"
"147","Manaksia Coated Metals & Industries Limited","MANAKCOAT","P&F | F.A","-1.28%","141.37","1,72,969"
"133","Prime Focus Limited","PFOCUS","P&F | F.A","-1.31%","168.42","15,52,684"
"97","Dishman Carbogen Amcis Ltd","DCAL","P&F | F.A","-1.35%","260.35","50,111"
"183","Peninsula Land Limited","PENINLAND","P&F | F.A","-1.36%","42.08","3,98,171"
"49","Gujarat Themis Biosyn Ltd","GUJTHEM","P&F | F.A","-1.41%","366","97,969"
"148","Kellton Tech Solutions Limited","KELLTONTEC","P&F | F.A","-1.42%","140.18","10,29,300"
"118","Anant Raj Global Ltd","TARC","P&F | F.A","-1.46%","196.17","4,30,461"
"51","Gopal Snacks Ltd","GOPAL","P&F | F.A","-1.49%","363.85","59,273"
"24","Madhya Bharat Agro Products Ltd","MBAPL","P&F | F.A","-1.5%","423.8","1,64,026"
"154","Zim Laboratories Ltd","ZIMLAB","P&F | F.A","-1.61%","118.87","9,80,447"
"69","Pnc Infratech Limited","PNCINFRA","P&F | F.A","-1.65%","313.85","10,13,392"
"88","Cantabil Retail India Limited","CANTABIL","P&F | F.A","-1.67%","282.5","1,71,293"
"110","Signpost India Ltd","SIGNPOST","P&F | F.A","-1.76%","237.51","98,637"
"163","Aeroflex Enterprises Ltd","AEROENTER","P&F | F.A","-1.76%","110.8","4,40,137"
"153","Edelweiss Financial Services Limited","EDELWEISS","P&F | F.A","-1.92%","119.09","53,37,996"
"96","Rbl Bank Limited","RBLBANK","P&F | F.A","-1.95%","263.14","1,51,91,364"
"90","Spml Infra Limited","SPMLINFRA","P&F | F.A","-1.96%","269.72","7,28,689"
"50","Onward Technologies Limited","ONWARDTEC","P&F | F.A","-2%","364.9","7,525"
"79","Skm Egg Products Export (india) Limited","SKMEGGPROD","P&F | F.A","-2%","293.65","5,585"
"101","Panache Digilife Ltd","PANACHE","P&F | F.A","-2%","256.09","22,133"
"125","Modison Ltd","MODISONLTD","P&F | F.A","-2.05%","180.01","61,698"
"78","Mazda Limited","MAZDA","P&F | F.A","-2.13%","295.74","45,531"
"134","GPT Healthcare Ltd","GPTHEALTH","P&F | F.A","-2.22%","168.38","5,93,812"
"2","Mamata Machinery Ltd","MAMATA","P&F | F.A","-2.26%","488.1","11,07,274"
"71","Godavari Biorefineries Ltd","GODAVARIB","P&F | F.A","-2.3%","310.73","88,850"
"155","Sterlite Technologies Limited","STLTECH","P&F | F.A","-2.35%","115.46","29,14,264"
"8","Hariom Pipe Industries Ltd","HARIOMPIPE","P&F | F.A","-2.39%","466.5","2,81,965"
"184","Centrum Capital Ltd","CENTRUM","P&F | F.A","-2.61%","39.51","3,09,111"
"64","Ecos (India) Mobility & Hospitality Ltd","ECOSMOBLTY","P&F | F.A","-2.72%","320.4","5,39,349"
"180","Tara Chand Infralogistic Solutions Ltd","TARACHAND","P&F | F.A","-2.77%","75.23","1,67,215"
"111","Saksoft Limited","SAKSOFT","P&F | F.A","-3.26%","235.95","4,51,421"
"4","Allied Blenders & Distillers Ltd","ABDL","P&F | F.A","-3.51%","479.5","5,14,553"
"99","Northern ARC Capital Ltd","NORTHARC","P&F | F.A","-3.71%","257.25","14,91,581"
"131","Diamond Power Infrastructure Ltd","DIACABS","P&F | F.A","-3.85%","168.86","36,66,896"
"105","Veranda Learning Solutions Ltd","VERANDA","P&F | F.A","-5.1%","252.36","10,99,750"
